IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.16.8.91,4,4,0.00,57.15,46.78
104.18.178.186,4,4,0.00,58.51,36.54
104.16.15.85,4,4,0.00,58.40,16.01
141.101.114.32,4,4,0.00,57.43,14.90
141.101.115.254,4,4,0.00,58.36,14.30
